s_acctbal|s_name|n_name|p_partkey|p_mfgr|s_address|s_phone|s_comment
9998.97|Supplier#000037519|RUSSIA|5212467|Manufacturer#4|zKi,QwT1j0xloj|32-187-457-4262| pending dugouts. packages hinder furiously-- accounts against the blithely unusual instruction
9998.01|Supplier#000253653|FRANCE|553652|Manufacturer#2|j3rg1zJVK,QDlC0YLgzqmmB7y|16-989-502-8470|s the slyly even deposits use according to the slyly regular asymptotes: instructio
9997.17|Supplier#000123140|ROMANIA|4773109|Manufacturer#4|O80qPjM5qonzjxGI,ClSnI7Vf3dlZCztkNx3ho|29-567-411-4572|uriously slyly bold forges. slyly pending platelets haggle after the excuses. quickly pend
9995.79|Supplier#000156628|UNITED KINGDOM|1206619|Manufacturer#4|aZRcbN7WStaiQ69vfMixB|33-308-726-5076|usual instructions. final pinto beans sleep slyly among the carefully final instructions. regular pa
9995.34|Supplier#000190688|UNITED KINGDOM|790687|Manufacturer#3|pSlhz0825vaM,Ly8Y4VLCtdGzFNpsDh35U|33-424-942-1566|side of the carefully special pinto
9995.34|Supplier#000190688|UNITED KINGDOM|3040667|Manufacturer#3|pSlhz0825vaM,Ly8Y4VLCtdGzFNpsDh35U|33-424-942-1566|side of the carefully special pinto
9995.22|Supplier#000047386|ROMANIA|4022346|Manufacturer#3|yuT9CtXmek 6qG6myKjMZt|29-218-916-4495|instructions. blithely ironic theodo
9993.94|Supplier#000026164|RUSSIA|3701127|Manufacturer#4|5qEqYLh,Kw9kdiq7VyBz1a9pvr6yO3|32-866-246-6541| the quickly enticing pains. quickly ironic packages sleep. slyly reg
9992.54|Supplier#000099650|RUSSIA|174649|Manufacturer#3|ySI FMlh9gHkEDN6gQWf3|32-971-481-2533|ged deposits cajole carefully packages. carefully final ideas affix furiously. regu
9992.54|Supplier#000099650|RUSSIA|3474616|Manufacturer#2|ySI FMlh9gHkEDN6gQWf3|32-971-481-2533|ged deposits cajole carefully packages. carefully final ideas affix furiously. regu
9992.54|Supplier#000099650|RUSSIA|5274598|Manufacturer#3|ySI FMlh9gHkEDN6gQWf3|32-971-481-2533|ged deposits cajole carefully packages. carefully final ideas affix furiously. regu
9991.80|Supplier#000176854|ROMANIA|3401842|Manufacturer#2|i8hTQeqlqb|29-356-560-2367| the ironic requests. furiously even instructions a
9991.36|Supplier#000215597|UNITED KINGDOM|3740584|Manufacturer#1|yQ1SfFdd3Xc|33-770-326-9401|he regular requests. carefully regular foxes use furiously. slyly regular requests 
9991.10|Supplier#000012699|UNITED KINGDOM|2637690|Manufacturer#1|QjhFCohICdZaFxR39 91UM1NRy|33-842-980-7642|ular accounts sublate quickly stealthily final ideas. sly
9990.41|Supplier#000191886|FRANCE|3641861|Manufacturer#1|tm ZXbg2XihszOjpmgw7lbBACJ5Dc2gP|16-118-188-4956| ironic platelets. carefully final asymptotes sleep furi
9989.15|Supplier#000089499|GERMANY|3389498|Manufacturer#1|Lh3p,IfDGb67NlJ|17-266-433-8797|its according to the slyly regular excuses haggle across the pending, ironic pinto 
9988.29|Supplier#000273304|ROMANIA|3273303|Manufacturer#4|rVw7T,PbkYA35J,|29-238-280-6619|r accounts. fluffily ironic foxes against the carefully eve
9987.83|Supplier#000226142|UNITED KINGDOM|4276113|Manufacturer#2|b84nxR1YXK,FJZKyApi275dYIgcTQz,3oSpa7Y|33-307-761-8039|structions wake slyly above the pinto beans. slyly busy requests cajole. furiously regul
9987.51|Supplier#000020657|ROMANIA|395653|Manufacturer#5|4pL,8BT3Yun,17QHqAr9 A,ZFyyuH4L|29-167-460-7830|otes. excuses behind the blithely regular packages are furio
9987.22|Supplier#000115562|FRANCE|3865537|Manufacturer#2|k8iV2SZ2KnWa8T3kdDE8laXYGIC|16-789-706-2635|ely ironic accounts. final platelets doubt slyly. slyly pending requests boost. theodolit
9987.15|Supplier#000261888|FRANCE|2061887|Manufacturer#3|r2C 9OgG7I3n5NVQ6AtRsMxWhgeVxCgmM|16-828-385-1401|y ironic packages: blithely final foxes sleep above the furiously express pinto
9986.40|Supplier#000082995|RUSSIA|5857937|Manufacturer#2|CXiBNZ6DUBjgY|32-510-919-3096|nding instructions boost. unusual, regular asymptotes above the fluffily express e
9986.09|Supplier#000265436|ROMANIA|2590427|Manufacturer#4| wcNocVSNAgHeTic1|29-832-147-9858|hely slyly silent deposits? fluffily even inst
9986.09|Supplier#000265436|ROMANIA|2815417|Manufacturer#4| wcNocVSNAgHeTic1|29-832-147-9858|hely slyly silent deposits? fluffily even inst
9985.97|Supplier#000139141|UNITED KINGDOM|2689124|Manufacturer#5|U7FyrEWVzFIs19,nDmrqXy,j5b2Jk52rT4|33-161-730-9424| slyly according to the regular, bold dependencies
9985.73|Supplier#000107900|UNITED KINGDOM|182899|Manufacturer#1|ecfDGL6hIj590Ck2CemenoFmK|33-731-208-3884|after the somas. express, special accounts wake sly
9985.54|Supplier#000147207|GERMANY|5622152|Manufacturer#3|rDqExccHg3IBN4k|17-345-679-3036|olites are carefully after the ironic instructi
9984.45|Supplier#000205470|RUSSIA|1705469|Manufacturer#3|243Lv4CmP2WdFt2I2HUVZH|32-428-455-9850| accounts. final, even packages nag fluffily among the sl
9984.30|Supplier#000081977|RUSSIA|3306965|Manufacturer#4|gemeY46TI2J6ZAt9gjouxB|32-569-570-6149|ng to the furiously special package
9982.92|Supplier#000110693|GERMANY|2585668|Manufacturer#4|Xo15m uVK0bZIABA6xbWnh4ydv7EfI7PERBHB|17-932-610-7514|n asymptotes: slyly bold requests haggle carefully alongside of the furiously ironic deposits. c
9982.86|Supplier#000232292|RUSSIA|3457280|Manufacturer#4|iwjVuNf,nxEk8yyyuzSLHjB5d4|32-695-896-2204|. dogged foxes integrate blithely. quickly regular instr
9982.49|Supplier#000010743|RUSSIA|235742|Manufacturer#4|vBFtcbIuu2cy hidsah4|32-490-219-7472|requests use blithely foxes. quic
9982.24|Supplier#000197462|GERMANY|5672407|Manufacturer#5|7SdSKbJ2pdAvCpG|17-200-697-3983|es maintain furiously. slyly ir
9982.12|Supplier#000115580|RUSSIA|3490546|Manufacturer#5|B8gpWJE0s cO8K|32-270-216-1537|y regular ideas: excuses serve slyly. furiously special excuses wake. fur
9982.02|Supplier#000212153|RUSSIA|2012152|Manufacturer#1|18lzRWCE0T BNNN|32-353-256-5897|t fluffily. closely regular platelets integrate slyly above the final theodolites. regular, bold ac
9981.82|Supplier#000254272|ROMANIA|5579253|Manufacturer#5|fkmnWEArAL4fSKQ7biiH|29-628-901-2831|ts run carefully regular accounts. regular packages are fluffily across the blithely ev
9980.93|Supplier#000118263|UNITED KINGDOM|3118262|Manufacturer#2|U8WUFu5rph|33-156-772-3541| excuses cajole blithely furiously final attainmen
9978.82|Supplier#000221713|ROMANIA|3371690|Manufacturer#4|2hYyZXt17eehrimFq3S04abyUTfYvYINh|29-143-199-8338|ide of the fluffily express packages detect furiously throughout
9977.87|Supplier#000041768|ROMANIA|1016758|Manufacturer#3|dHX1qJTTDQNy|29-481-308-5750|ending warhorses sleep carefully carefully ironic notornis. final sheaves wake slyly among th
9977.75|Supplier#000295459|FRANCE|5245424|Manufacturer#2|9bVisfv2GEmJnqA p8cLdpJM1hAqeEE KB|16-430-357-9794|gular foxes alongside of th
9976.46|Supplier#000114393|ROMANIA|5889335|Manufacturer#1|OoaLhUmNSZrgp9HKUB7nue0Uey3mFrbbT5dhdXy2|29-339-128-4329|en requests use pending pearls. bold requests detect against the furiously bold deposits. acco
9976.40|Supplier#000114562|ROMANIA|1989543|Manufacturer#2|ZSGJYQNP3KgmdtlbEasE8m,JzBh8Y8Wt|29-427-822-4430|ckages will have to are furiously. ironic, final pinto beans against the special req
9976.15|Supplier#000249831|ROMANIA|3249830|Manufacturer#3|GmzVxvTlqnD1zD6HUY52PiR2IwG307 Gi|29-187-368-9234| furiously. permanently regular ideas 
9972.87|Supplier#000093741|RUSSIA|4368698|Manufacturer#2|zn9C25C2dR|32-635-171-3010|lithely final foxes. permanent deposits wake express dolphins. blithely 
9972.22|Supplier#000063539|UNITED KINGDOM|3363538|Manufacturer#3|hH22I9VOgOnS|33-349-948-5173|even, pending instructions among the furiously regular dependencies haggle agai
9972.20|Supplier#000175906|FRANCE|4000892|Manufacturer#1|Z5jTDnI3uoCuUvYEelK3nQQK2n|16-980-770-3278|lar deposits boost carefully. furiously ironic sa
9971.91|Supplier#000048639|RUSSIA|2973629|Manufacturer#1|7 LTOrhqpZT2j23L,jngyP84qBWnDPytw mK|32-858-928-4333|old accounts wake furiously bold instructions. fluffily final foxes according to the express, unu
9970.79|Supplier#000084347|FRANCE|1509341|Manufacturer#2|mWjeSqX4jfXGhSq5aB5FORtCzzduhhu2Rk3|16-193-266-7201|ly even dependencies are furiously quickly 
9970.46|Supplier#000018114|RUSSIA|4593068|Manufacturer#3|1FF1XaxYDpqVcOjSzV3|32-941-320-8682|ously. blithely regular packages haggle slyly accounts.
9970.13|Supplier#000203105|FRANCE|2453088|Manufacturer#5|NIOu8hLSui,yy3E1seAwaauNfcAWdffexpjEE|16-451-778-6962|e quickly ironic pinto beans. ironic, ironic
9968.96|Supplier#000085431|ROMANIA|760424|Manufacturer#1|1hhUdxO7AVH|29-402-887-2528| boost furiously blithely quiet requests. ironic, ironic instructions haggle slowly. ironic, un
9968.96|Supplier#000085431|ROMANIA|1885430|Manufacturer#4|1hhUdxO7AVH|29-402-887-2528| boost furiously blithely quiet requests. ironic, ironic instructions haggle slowly. ironic, un
9968.96|Supplier#000085431|ROMANIA|2860403|Manufacturer#1|1hhUdxO7AVH|29-402-887-2528| boost furiously blithely quiet requests. ironic, ironic instructions haggle slowly. ironic, un
9967.64|Supplier#000037131|UNITED KINGDOM|2887112|Manufacturer#5|Xkxv7lxYDBNtVOegdvZyeEfQ70AdvKQYHBIh0|33-957-450-3258|boost slyly. slyly regular requests a
9967.60|Supplier#000028837|ROMANIA|1828836|Manufacturer#4|gAaNbDxVTyFjjhgGodAKyy9uk|29-105-576-2294|hins must have to haggle blithely along
9967.53|Supplier#000074639|UNITED KINGDOM|2924620|Manufacturer#5|aFtqXstCy9mPxDxP|33-208-912-2010|deposits. carefully final deposits cajole blithely bold foxes. carefully even platelets
9967.53|Supplier#000074639|UNITED KINGDOM|5999619|Manufacturer#1|aFtqXstCy9mPxDxP|33-208-912-2010|deposits. carefully final deposits cajole blithely bold foxes. carefully even platelets
9964.59|Supplier#000248367|RUSSIA|4973350|Manufacturer#2|e5vi2Dtfw4kUFXJdgL Z03K|32-833-763-6178|. carefully bold deposits
9964.57|Supplier#000235611|GERMANY|1510595|Manufacturer#2|AhlVj6MUDWJlbqNR3NnTha|17-851-891-8153|latelets haggle. quickly ironic sauternes poach special
9964.30|Supplier#000107622|GERMANY|2957603|Manufacturer#2|QihknR8B9cfKoZ|17-706-865-7885|olites haggle blithely alongsid
9964.26|Supplier#000135068|UNITED KINGDOM|4560052|Manufacturer#3|kpTlceEYc6FxfgRj5dtz26Em|33-842-159-9482|refully ironic instructions. carefully regular requests along the furiously i
9963.87|Supplier#000175849|GERMANY|100848|Manufacturer#3|FRQUnmYyImq4oSiYCEhcLmS|17-506-302-6010|s. blithely pending pinto beans are blithely silent, even instructions. 
9963.81|Supplier#000119756|UNITED KINGDOM|644753|Manufacturer#2|VADEpogSy4mhEsvDA8qrkwf5H2T|33-413-294-9174|ges. slyly pending ideas are. blithely express foxes use among the slyly silent gifts. carefully
9963.61|Supplier#000038562|ROMANIA|5663543|Manufacturer#4|Z ZLMATt1Q2BPeksYIl0aZso|29-451-566-8040|ully final foxes doze to the pending p
9963.25|Supplier#000234944|UNITED KINGDOM|5484907|Manufacturer#1|TX2ifcNZ4cv,E3Lc5u8g7LyjwgY6bHN8Xfp|33-101-696-7604| above the regular tithes use furiou
9962.57|Supplier#000034645|ROMANIA|34644|Manufacturer#5|eX2phCtgj8wVd8U7oWYs6bQOayC|29-629-100-1429|uests sleep carefully besides the patterns. carefully regular forges
9961.82|Supplier#000082261|FRANCE|1207256|Manufacturer#5|uFMabU,5TVf7d|16-966-882-3062|y ironic theodolites are fluffily slyly bold escapades. express
9961.63|Supplier#000260259|ROMANIA|4910226|Manufacturer#3|DWmTwf21eLudKMLLuS leTFA4FFfv|29-534-328-4320|rthogs. carefully pending deposits wake carefully special realms. furious
9961.50|Supplier#000161407|GERMANY|1886400|Manufacturer#2|JVS9SUOsW1pZXaz6szihQb|17-906-326-2047|sly regular accounts eat always. fluffily fin
9960.08|Supplier#000204899|FRANCE|2079880|Manufacturer#4|eA4EBd87NGt VIPfxTK5lKrzxm|16-572-829-5013|special excuses. furiousl
