src,dst,weight
hatespeechradio,gaustenbooks,1
champagnemanoir,Ruth_Z,2
champagnemanoir,guide2pc,2
champagnemanoir,EMarketingGuru,1
champagnemanoir,raywelling,1
champagnemanoir,drjoesDIYhealth,1
champagnemanoir,hasteyourday,1
champagnemanoir,teamwinnipegRT,1
champagnemanoir,Any_Amount,2
champagnemanoir,ikeoo,1
champagnemanoir,Koolkieran,1
champagnemanoir,missyisnikkilee,1
champagnemanoir,holdemtalkradio,1
champagnemanoir,Toulousenessie,1
champagnemanoir,Frenchywilson,1
champagnemanoir,darrenporter,1
champagnemanoir,LeMonjat,1
champagnemanoir,france_normandy,1
champagnemanoir,gascony,1
champagnemanoir,hazmattmum,1
champagnemanoir,FrancaPorter,1
champagnemanoir,mashable,1
emperoranton,Ohdoctah,1
emperoranton,micah,1
emperoranton,sarahrobinson,1
sarahrobinson,ginidietrich,1
seattlelawgirl,go2girlevents,1
seattlelawgirl,HeckmanMedical,1
seattlelawgirl,Seattlelawgirl,1
fridayluv,replies,1
fridayluv,JimSmithCSCS,1
fridayluv,teamwinnipeg,2
fridayluv,MamaCapps,1
fridayluv,expensiveguy,1
fridayluv,weizenbaum,1
fridayluv,tap29,1
fridayluv,AnitaDFiouris,1
fridayluv,ecjake,1
fridayluv,straightstreet,1
fridayluv,MissPaulaFlava,2
fridayluv,jawar,2
fridayluv,mikemike2020,1
fridayluv,Checkandmate,1
fridayluv,andydobbo,1
fridayluv,TweetingOutLoud,1
fridayluv,beckyjtamayo,1
fridayluv,drewm,1
fridayluv,Neergorganic,1
fridayluv,Verdessence,1
fridayluv,NNUS,1
fridayluv,kromilly,1
fridayluv,argus27,1
fridayluv,rthastar,1
fridayluv,mgonyeo,1
fridayluv,mikimay,1
fridayluv,mashable,1
fridayluv,fashion_tweets,1
fridayluv,dazedmagazine,1
fridayluv,pattyhuntington,1
fridayluv,swide,1
fridayluv,jcreportglobal,1
fridayluv,xymagazine,1
fridayluv,little_d1976,1
fridayluv,Lady_Twitster,1
fridayluv,suzannah_a,1
fridayluv,ukpubs,1
fridayluv,johnsmiths,1
fridayluv,drewwilliams27,1
fridayluv,tommytrc,2
fridayluv,cheth,4
fridayluv,Minervity,2
fridayluv,ProfBrendi,1
fridayluv,mirzwick,2
fridayluv,bikenrocker,2
fridayluv,AoPucci,2
fridayluv,murnahan,2
fridayluv,andysowards,2
fridayluv,IntriguingDs,2
fridayluv,News_Tec,1
fridayluv,News_Tech,1
fridayluv,1bizzywriter,1
fridayluv,clydebloom,1
fridayluv,fionalovely444,1
fridayluv,carolmerry,1
fridayluv,caseywright,1
fridayluv,AlaskaArtist,1
fridayluv,aplusk,1
fridayluv,imjustcreative,1
fridayluv,knealemann,1
fridayluv,dancingmango,1
fridayluv,2020science,1
fridayluv,Gojesuschrist,1
fridayluv,star_jayl,1
fridayluv,patient_warrior,1
fridayluv,gojesuschrist,1
fridayluv,buffalopine,1
fridayluv,daveingland,1
fridayluv,thesachsgirl,1
fridayluv,reddywriting,1
fridayluv,blove212,2
fridayluv,bigdawg10,1
fridayluv,genedthecure,1
fridayluv,joshwink1,1
fridayluv,thejobsguy,1
fridayluv,fitnessnewslist,1
fridayluv,Argenispaul,1
fridayluv,npyskater,1
susiecheng,KenRobbins,1
susiecheng,tornadotorino,1
susiecheng,ericbeard,2
susiecheng,randum20,1
susiecheng,Trendy_Golf,1
susiecheng,Nachhi,1
susiecheng,ASEVIDEO,1
susiecheng,RommelCali,2
susiecheng,valenzetti,1
susiecheng,haforhope,2
susiecheng,Dr_SG,1
susiecheng,carece,1
susiecheng,DediKatedVA,1
susiecheng,Jotebro,2
susiecheng,tweetmaker,1
susiecheng,MATT_369,1
susiecheng,americandream09,2
susiecheng,ReporterHaley,1
susiecheng,gk4truth,1
susiecheng,carrielee,1
susiecheng,savor,1
susiecheng,reenchanter,1
susiecheng,RadioSRQ,10
susiecheng,NKenge,4
susiecheng,stillsafe,4
susiecheng,Budor,8
susiecheng,ArnaudJacobs,4
susiecheng,HawaiianKiko,9
susiecheng,fridayluv,1
susiecheng,bersheba,1
susiecheng,barbarawhis,2
susiecheng,PumpsAndGloss,1
susiecheng,amous,1
susiecheng,ChynaGyrL1980,1
susiecheng,wright1foru,1
susiecheng,CherryPoint49,1
susiecheng,OhBriBri,1
susiecheng,losheriow,1
susiecheng,DLWilsonsWorld,1
susiecheng,denyseduhaime,1
susiecheng,seekzpeace,1
susiecheng,MaryHodder,1
susiecheng,Java4Two,1
susiecheng,Sirjohn_writer,3
susiecheng,manatmouse,2
susiecheng,JoanneRK,3
susiecheng,davidspies,3
susiecheng,abaesel,1
susiecheng,BigBBrown,1
susiecheng,SweetSoaps,1
susiecheng,lauderdaleagent,1
susiecheng,tap29,3
susiecheng,therealsecret,2
susiecheng,weizenbaum,2
susiecheng,G1ngerchick,1
susiecheng,powerwriter,1
susiecheng,girlwithnoname,1
susiecheng,JasonBraud,1
susiecheng,GeoffHampton,2
susiecheng,TravelingDad,3
susiecheng,Dawn_Abraham,4
susiecheng,julieminevich,2
susiecheng,misty_fw,2
susiecheng,marketingwizdom,2
susiecheng,ginidietrich,2
susiecheng,mvolpe,2
susiecheng,WendiMooreAgncy,2
susiecheng,ABCofSoCal,2
susiecheng,smdpi,1
susiecheng,suzannewilliams,1
susiecheng,GenaLivings,2
susiecheng,Nurul54,1
susiecheng,JoLoPe,1
susiecheng,LauraJames3,1
susiecheng,GodChaserHank,1
susiecheng,Doc_Remy,1
susiecheng,FengShuiTips4u,1
susiecheng,Dancegurl91,1
susiecheng,art4thehomeless,1
susiecheng,expensiveguy,1
susiecheng,Cowsthatdance,1
susiecheng,AsiaBrands,1
susiecheng,ReloMary,1
susiecheng,KellyKarius,1
susiecheng,LeonardoZ,2
susiecheng,travelhero,1
susiecheng,carelea,1
susiecheng,jgphi,1
susiecheng,SianLindemann,1
susiecheng,edwinsng,1
susiecheng,Natalija,1
susiecheng,ItaiBoublil,1
susiecheng,templer08,1
susiecheng,RonArden,1
susiecheng,UCgolfdoc,1
susiecheng,antoineclarke,1
susiecheng,bethlayne,1
susiecheng,HaforHope,1
susiecheng,EvesHealing,1
susiecheng,JayneJohnson,1
susiecheng,SusanHolsinger,1
susiecheng,GreenPlanetTwit,1
susiecheng,SpiritLibrary,1
susiecheng,Leabella,1
susiecheng,mymiaomiao,1
susiecheng,bacieabbracci,1
susiecheng,MsFitUniverse,1
susiecheng,DianeTate,1
susiecheng,EarthLifeInst,1
susiecheng,hiphopdesigns,1
susiecheng,DigitalGodess,1
susiecheng,puffaddering,1
susiecheng,EmmanuelGadenne,1
susiecheng,Mysticle,1
susiecheng,BarbaraDuke,1
susiecheng,legionbirdman,1
susiecheng,GilPizano,1
susiecheng,DutchieDude,1
susiecheng,ReneeBarronMN,1
susiecheng,funnyfatguys,1
susiecheng,planethealer,1
susiecheng,NVisionPsychic,1
susiecheng,PentenscribesRT,1
susiecheng,healthymcm,1
susiecheng,1to1coach,1
susiecheng,LilianeRausch,1
susiecheng,thomaspower,1
susiecheng,Dr_Share_D,1
susiecheng,idLOOP,2
susiecheng,CHRISVOSS,1
susiecheng,elocio,1
susiecheng,burajiru,1
susiecheng,cocosbutter,1
susiecheng,MiaCucina,1
susiecheng,NongLing,1
susiecheng,TheTAZZone,1
susiecheng,quietlaughter,1
susiecheng,Burdoc,1
susiecheng,oreoking,1
susiecheng,jblm,1
susiecheng,wirhed,1
susiecheng,SujataChadha,1
susiecheng,ShannonGrissom,1
susiecheng,dharshana,1
susiecheng,adellecharles,1
susiecheng,hrc98901,1
susiecheng,VBabinDesign,1
susiecheng,ExpatCoachMegan,1
susiecheng,pattyfarmer,1
susiecheng,Journeywoman,1
susiecheng,lspearmanii,1
susiecheng,monicacesarato,1
susiecheng,buycruises,1
susiecheng,ruthannharnisch,1
susiecheng,RT,1
susiecheng,francismata,1
susiecheng,GerryCOnline,1
susiecheng,fineinteriors,1
susiecheng,AffirmingSpirit,1
susiecheng,OlegSomin,1
susiecheng,earth2energy,1
susiecheng,bkmacdaddy,1
susiecheng,JessDefilippo,1
susiecheng,vhuelse,1
susiecheng,tbusbey,1
susiecheng,hibabe,1
susiecheng,dharmabob,1
susiecheng,Lizzybits,1
susiecheng,ladigargar,1
susiecheng,cityrat59,1
susiecheng,bizzybee,1
susiecheng,KoalaChris,1
susiecheng,MARCOME,1
susiecheng,IamKat,1
susiecheng,DanicaR,1
susiecheng,chibbigirl,1
susiecheng,cybette,1
susiecheng,gillie,1
susiecheng,a_mayer,1
ericbeard,DRocmusicprod,1
ericbeard,EastDallasAlice,1
ericbeard,scottimitch,2
ericbeard,restorefitness,1
ericbeard,MatthewDMorris,1
ericbeard,Dr_Gupta,1
ericbeard,LoneStarChiro,1
ericbeard,GeoffHamptonThis,1
ericbeard,CoreFit,1
ericbeard,calgaryfitness,1
ericbeard,mikefixs,1
ericbeard,playfulgenius,1
ericbeard,ieshal,1
ericbeard,cletch,1
ericbeard,ScottScanlon,1
